"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","iav"
"213",-0.17533364014329,0.763727252395848,0.475421949580727,1.01330597583748,-3.41206648975815,-4.17587853593723,-1.94360319852434,2.93324004924109,4.52118663730786,"IAV-"
"246",2.17925480353283,-2.97367183552127,-2.14680538137277,3.21049049685708,-1.10849714609662,-2.2984021909075,-1.73957844990648,-1.6345009565131,6.51171065992783,"IAV-"
"248",0.210735827545847,0.431943826233909,-0.370288685494253,1.27983176790228,-3.31426952346536,-4.54469955965867,-1.95752108324139,2.07447936348599,6.18978806669165,"IAV-"
"254",3.96049677370304,-4.06932900435795,-1.82289699075367,1.25193994314214,-5.63063567992486,0.972034885706958,-1.39977245383761,1.36144715969232,5.37671536662963,"IAV-"
"258",3.02682518492473,-4.29920450856461,-1.88694426711185,3.76807610542405,1.946608812122,1.04973915615912,-2.49612140499245,-6.08347245119012,4.97449337322914,"IAV-"
"268",-1.34067568530582,1.12933368807694,-0.687445780604462,0.353514414601219,-5.5398731968707,-0.165282845008448,0.00903049003261851,0.658834838979176,5.58256407609948,"IAV-"
"271",-2.58201023084223,3.7424938128887,0.715634466077471,0.38074228402131,0.305423610868288,-4.18269418499084,-1.98442738315891,-1.66464507056128,5.26948269569749,"IAV-"
"310",0.150825113565262,-1.36183307320382,-1.27073511764322,3.19000182082653,0.112902150833305,-3.36985602506313,-0.941018452044904,-0.796396937737871,4.28611052046784,"IAV-"
"312",0.482657554861349,-1.58923646585077,-1.38905193472222,1.25914275800663,-6.03598818441009,1.88465392898091,0.126481388957224,0.273446472585739,4.98789448159122,"IAV+"
"320",-2.26327822339847,0.672345643409111,0.125231097343324,3.59385822881139,0.539625137729685,-3.18636771613263,-1.43354014377419,-2.22569735136735,4.17782332737913,"IAV+"
"325",-0.452759039451548,-1.17258776867676,-1.05783663771686,3.5782478866154,-5.29230628443682,-3.74773615356036,-0.968995930103317,2.38509634930031,6.72887757802995,"IAV-"
"326",4.87131539057603,-4.92251981616459,-1.85567123358064,1.99144538383405,-0.709952145620484,0.162475974816265,-2.16674186152342,-1.14902262135534,3.77867092901812,"IAV-"
"328",-1.03027694849167,0.809894601044115,-0.568925413657227,1.35990417224078,0.848903376414479,-2.46558234252723,-0.630938893426683,-1.63442414452357,3.31144559292702,"IAV-"
"329",-1.23919874165195,0.796257052870439,-0.834050063934569,1.2472846742835,-0.114803387969042,-1.1602583407766,-0.288593363794645,-2.30987055831375,3.90323272928662,"IAV-"
"853",2.48704042766696,-3.79763868643029,-1.65974161989568,2.6137765804946,-4.04945242806198,0.145307347443613,-0.864994225940152,0.741112335033225,4.38459026968971,"IAV+"
"854",-3.16421461925414,3.19876614914959,1.60525948016987,1.47342361337253,1.75347852363548,-2.26235041054413,-2.26352204348065,-3.59194303831765,3.25110234526909,"IAV+"
"857",1.36192395286861,0.817952299248478,-0.0929743906984438,-1.93332038916087,2.45998399042188,-1.09194694783625,-0.912636622774518,-0.823488741344648,0.21450684927576,"IAV-"
"861",-2.62117260562825,2.35836145060243,-0.824339593893589,1.45917128730776,-0.657226997955537,-3.27507207984784,-0.407675018870543,-1.9547974226974,5.92275098098297,"IAV-"
"862",-2.42609355636447,1.80231961676466,-0.981890833120131,2.07978717541187,-1.06837971697356,-3.19656750716368,-0.60393295188086,-2.14368155426152,6.53843932758769,"IAV-"
"869",1.59345548374206,-2.41938328182323,-0.583828710672114,3.42256801102593,-5.01905729243279,-3.81401931280042,-2.50913997742253,2.83019656886649,6.49920851151661,"IAV-"
"886",0.0663498829486508,-1.44174312405108,-1.34717442464985,3.91267169247202,3.47692332063308,-6.19757478166386,-0.773636034251777,-0.300839602254152,2.60502307081696,"IAV-"
"896",-1.28288545566596,0.863728418242075,-0.871363972265547,1.21352907172221,0.601972871392608,-1.36627790058607,-0.178905129923785,-2.49068518362329,3.51088728070775,"IAV-"
"900",0.727397821157192,-1.33554460780579,-1.80675809035461,1.17621740714307,-3.88528353306525,-1.84319249850265,0.53750745089382,2.36609839808706,4.06355765244715,"IAV-"
"1206",2.98547741818862,-3.46897986567653,-1.89594225119149,3.06575827901238,-1.50922082840271,-1.7995203450941,-2.40360509514029,-1.58815958629294,6.61419227459707,"IAV+"
"1209",1.35637392907839,-1.64851787975498,-0.99649984831379,2.98687263941623,-1.31276892293886,-2.66368173680354,-2.80740695801615,-1.88593159112171,6.97156036845441,"IAV+"
"1211",-0.42868935365268,-0.736648339990468,-1.87029318677698,2.96429128123475,-1.57198635322278,-2.40175180414606,-0.730498060310562,-2.02759844080203,6.80317425766682,"IAV+"
"1221",-0.310656366731723,-0.829789667150445,-2.00594552893456,2.86637394018694,-1.16402546630413,-2.56242454519673,-0.512090261280532,-1.8773247595565,6.39588265496768,"IAV+"
"1224",-0.498878266857451,0.20777774834149,-0.86656199192374,2.34320132620845,-1.43218342274502,-2.73544181492748,-1.86387187249548,-2.05385310601218,6.89981140041141,"IAV-"
"1228",2.96588747322899,-3.70787997139029,-2.07733890828371,3.4945990718623,-1.45365411647205,-2.07201129074125,-2.38481351420659,-1.68718455093794,6.92239580694054,"IAV-"
"1235",-2.51275897809653,1.29455778615746,-1.17109553930717,2.99362787817662,-1.16897346050694,-3.47577318971769,-0.658760409128168,-2.3333185801636,7.032494492586,"IAV+"
"1239",-2.83900856624455,2.40880609703347,-0.564259118400731,1.81405662861313,-1.48743179600575,-2.94449399586438,-0.852347768685039,-2.25855007022019,6.72322858977404,"IAV+"
"1244",0.419436931893904,-1.18516340275351,-1.26807993059948,3.27790761446918,-1.12141788712467,-3.02674567750508,-2.07987180032478,-1.99284694082016,6.9767810927646,"IAV+"
"1256",-0.287001226444523,1.94343257505538,0.449591794258475,-0.0521757995020162,0.0800294672852356,-3.12048022896618,-2.50444261808808,-1.21400748544793,4.70505352184963,"IAV+"
"1257",-0.389179072947915,-1.02590647955209,-2.10655989296646,3.29810197089005,-1.19251548440562,-2.74727512203468,-0.529364555188847,-1.98202229581972,6.67472093202528,"IAV+"
"1258",-0.0481223813782477,-0.490252639419614,-0.98141675941453,2.88939343079398,-1.25375739987199,-2.94597015336747,-2.09161758827693,-2.03543402488166,6.95717751581645,"IAV+"
"1261",-0.0225374373995285,-0.968043356472703,-2.31535607360851,2.53126826189838,-0.283108195459836,-2.90377519992913,-0.0364132539371236,-1.55006909246502,5.54803434737346,"IAV-"
"1262",-3.02427937494935,2.74384161375149,-0.399218338415787,1.64679178975297,-1.76006488015096,-2.84321156056207,-1.00409610866521,-2.36286507491905,7.00310193415797,"IAV-"
"1265",2.8318688190281,-3.45621059294757,-2.04533321598656,3.16701294476334,-1.20122624482478,-2.04426325839895,-2.1327707069366,-1.54121994922955,6.42214220453256,"IAV+"
"1272",4.57456457110771,-2.98187210557652,-0.216263898994648,1.61666237606959,-0.142445467556718,-2.63798862949632,-4.78259850957124,-0.968958426513689,5.53890009053182,"IAV-"
"1273",-1.09037646788591,1.42255193042465,-1.77019622303922,-0.702667660158327,-2.43412020194481,2.50023290039906,0.496127552349506,-4.34053808995597,5.91898625981103,"IAV-"
"1274",-0.274973645591491,-0.360674732975289,-1.67920565028937,2.13042608099549,-1.50873753733059,-2.04886899219876,-0.692741351193996,-1.82278847874738,6.25756430733137,"IAV+"
"1282",3.37658679500543,-3.87883866058994,-2.15385324472001,3.14337814580875,-1.02461632208352,-2.07749527849589,-2.27658723234426,-1.44232406437635,6.33374986179579,"IAV-"
"1283",-0.281234434783958,0.770804813742633,-0.883076764396839,0.565916514864161,-2.62174839903771,-0.816753901442498,-1.27641573751622,-1.85132319767092,6.39383110624135,"IAV-"
"1288",-2.79126022217346,2.71691948778365,-0.465823643693723,1.22382469882321,-1.23601413406697,-2.84328046918727,-0.722637469135519,-2.07048178204177,6.18875353369185,"IAV+"
"1301",-0.361478679895411,-0.56767039464232,-1.78334966641591,2.59317611621189,-1.54864900387164,-2.24227180073752,-0.716264851288412,-1.93796330160832,6.56447158224765,"IAV+"
"1302",-0.453051784611051,2.95948160592584,1.44785955647173,-0.781266697310873,0.0596624174339848,-3.2409681280141,-3.48894893021575,-1.1962632142535,4.69349517457372,"IAV+"
"1303",0.777967473750541,-1.29214838124364,-1.44871592998464,2.8564696577983,-0.590512499783231,-3.10731620870981,-1.8166155021273,-1.73281726570271,6.35368865600248,"IAV-"
"1304",2.68386055024829,-3.51021089135787,-2.09747316792274,3.46204582458959,-1.26437055040894,-2.16517953195027,-2.12622128460868,-1.63733461032726,6.65488366173788,"IAV+"
"1305",-0.348143098119102,0.044945606941431,-0.936100452243574,2.42944773172441,-0.949768954565475,-3.07824583293765,-1.82846317730225,-1.93850416467399,6.6048323411762,"IAV-"
"1306",-2.98196249806351,2.57431257308459,-0.580436032063524,1.78654051792246,-1.35735737705598,-3.12470651292961,-0.791934618893903,-2.27380208783669,6.74934603583618,"IAV-"
"1308",-1.87081538378096,0.914732726150272,-1.18933802647959,2.64429156715674,-1.58612167644259,-2.83343170195462,-0.834661977677469,-2.25274429486218,7.00808876789039,"IAV+"
"1324",0.443384556614733,-0.794363275504119,-1.16561508080511,2.58619817450881,-1.24222109864476,-2.67653106503822,-1.99583979843104,-1.89937021477613,6.74435780207583,"IAV-"
"1325",-0.211117891679123,-2.33895016786255,-3.9060255584729,3.79565987043904,-0.659432437272102,-2.72317614815901,1.767356648654,-1.43559924838583,5.71128493273847,"IAV+"
"1327",1.341412201649,-0.0313621383585903,-2.34483467044336,-2.35802101600301,-2.89979946970228,3.74248676214148,0.943583874103468,-2.72207774817246,4.32861220478575,"IAV-"
"1337",-0.480142656130414,0.585114862990747,-1.20993524588669,0.890065206475017,-2.88127410810128,-0.84792802245215,-0.865616236916558,-1.77275337801,6.58246957803133,"IAV-"
"1348",1.52180142995694,-2.09981762062352,-2.59042865682023,1.66717493656939,-2.8561783184675,-0.240605854447599,-0.259165358963125,-1.45412007480596,6.3113395176016,"IAV-"
"1351",2.70268048941108,-2.88737306560591,-1.79212817988345,2.49745231865831,-1.52940354982059,-1.65520864215439,-2.21609725855597,-1.54295775868639,6.4230356466373,"IAV-"
"1354",1.37061876185197,-1.75531979932973,-2.25411085271557,1.502289622915,-2.75918411815065,-0.303828187305553,-0.518876974842374,-1.47081353121086,6.18922507878775,"IAV+"
"1357",2.50328510090815,-3.35892479659778,-1.98635750178901,3.69623489140494,-1.01958199493343,-2.64387932351841,-2.33037026457278,-1.7167053837637,6.85629927286201,"IAV-"
"1358",1.17958214773567,0.988235113610286,0.352266808083919,-0.979777976076588,-5.259215162265,-3.08338053490491,-2.3657601950399,3.57995145186105,5.58809834699546,"IAV+"
"1379",1.92456960937448,-1.30333059690732,-3.51846971595647,-1.89134104699313,-4.74651043639159,1.09318159539134,2.69777368640204,2.15632691792327,3.58779998715738,"IAV-"
"1380",4.3225672635868,-4.34779132855782,-2.17378503651377,2.54014619088541,-3.55231921136451,-4.23022533858048,-1.88223403900873,3.5463797405658,5.77726175898731,"IAV-"
"1391",-2.47969350865622,3.80708296832382,0.269227742331854,-0.815266720272023,-2.04797385644252,-1.47951790610394,-1.13242322158317,-1.8668212906148,5.745385793017,"IAV-"
"1394",0.764617023721673,0.19127274682571,-0.893486989123191,0.593409904769474,1.04593922894611,-3.44372041588891,-1.38324449583179,-0.80580337185738,3.9310163684383,"IAV-"
"1401",-0.67839903614489,0.597481585528746,-0.601690199517122,2.02822574044824,-2.04531857414674,-2.26849669298023,-2.0694214667081,-2.1779183992289,7.21553704274902,"IAV-"
"1402",-0.312694119031259,1.35651354207546,0.486716736773383,0.805457678102996,-3.18079942672379,-1.11823481842293,-3.28258222584139,-2.22480458975043,7.47042722281796,"IAV+"
"1403",-1.29333902855201,-0.862013713724835,-2.18960816264468,4.4133982156138,-0.921995927421371,-3.70798574150602,-0.441948357025917,-2.29796903630281,7.30146175156384,"IAV+"
"1404",2.45608599499907,-3.97480045562815,-2.50663939107326,4.4236347604101,-0.862134131079295,-2.84559745218714,-1.83142234460955,-1.74566608665492,6.88653910582313,"IAV+"
"1405",-0.96977859819044,1.14449471276154,-1.57954997350426,-0.00440394631045876,-4.6758181858947,-2.14385005697722,0.752475363478277,1.86518396069615,5.61124672394111,"IAV+"
"1407",1.08471712932544,-1.51415467673782,-2.2358015166338,1.48138469198722,-2.79712598761191,-0.330822469125491,-0.399224568250102,-1.51437100894654,6.22539840599299,"IAV+"
"1414",1.40060413602883,-1.79552915676468,-1.16760916930597,3.08771782435323,-1.48822623253739,-2.57511792519656,-2.71160805174367,-1.94917196441728,7.19894053958348,"IAV-"
"1430",-1.46878122561571,0.718277306904962,-2.09473457161849,1.1241363855253,-2.96846582668556,-0.591717550517621,0.794733078767668,-1.82185920582412,6.30841160906357,"IAV+"
