"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","bc_bin"
"213",-3.34930065827419,-1.13233065483461,1.75284475466893,0.352762912567914,0.41529463387188,-2.66526926073696,-2.32775960986353,1.53710475533294,5.41665312726763,"Average"
"246",1.98094498594353,-0.922698712138358,-2.81331390575474,3.67899059294013,-1.13062536967402,-1.94103134383293,-2.4304609476646,-2.34684296801539,5.92503766819637,"Poor"
"248",2.92809976306773,1.39325561838378,1.39151917059638,0.376243672812725,-3.18787404665732,-5.0717933695082,0.0498184528779337,-3.06668962303213,5.1874203614591,"Robust"
"254",-0.942260821042786,-0.853410573492811,-2.60657565987694,3.18535450638248,-1.45430233649068,2.22364561768338,-3.81584325859464,-0.479473821333364,4.74286634676536,"Average"
"258",0.890156143306168,-3.3615408400994,-5.27167378017116,6.7790729977925,1.43920926890285,1.94445087844905,-5.98876157226294,-1.26036175040813,4.82944865449106,"Robust"
"268",-2.98146311754193,-0.416228555833488,-0.934897820572754,1.43824287670834,-3.26196395326656,1.66141870529174,-1.52761634369549,0.250631319665291,5.77187688924485,"Average"
"271",0.548023905728406,1.31328101393873,0.919839814501628,0.352288941637041,-2.54882519702518,-2.593641850366,-2.06021469186233,-1.39011632460241,5.4593643880501,"Average"
"310",-4.74233453412054,-4.41897406651605,-3.67863585321603,3.53331911829075,5.48861739373531,-1.05919770119402,-4.18037290263916,3.37293569934085,5.68464284631889,"Average"
"312",-4.46313231388399,-1.5524640533777,-3.26644205163207,2.72289922693026,-1.47412118700338,4.41391855837963,-3.30916609399333,1.57300796094246,5.35549995363812,"Average"
"320",-3.01110289533753,-3.02765943577264,-2.37203931499862,2.66672849942571,3.4848253359292,-1.85569010515874,-3.10790502713564,1.94714599959805,5.2756969434502,"Average"
"325",-3.28725963301466,-2.29459171488808,-0.614879233551832,1.89348931169491,-0.0952453104604623,-2.8742170177138,-1.06300259054021,0.93648322884111,7.39922295963302,"Average"
"328",-4.35957725713003,-3.33297949203441,-3.10817014410417,2.74271515286505,4.40407379775352,0.0606605613559641,-4.0652454643103,3.10291728766739,4.55560555793698,"Average"
"329",-3.28704149139819,-2.39467959620207,-3.3843663871285,2.96626020932571,1.83984511901985,1.45575767280242,-3.65965763612207,1.7758458428792,4.68803626682364,"Average"
"853",1.29541954517484,-0.750839404820373,-2.86366045915088,3.63249264202896,-1.87712471490046,1.96171189777925,-2.7891847748657,-1.89246797072694,3.2836532394813,"Robust"
"854",-2.25839154758552,-1.84136155420257,-0.227991509585509,2.47126934580629,0.97693672605879,0.0142331625870649,-4.38084185909011,0.959948148125615,4.28619908788595,"Poor"
"857",-5.0406660669094,-2.80802296759647,-1.92988180368692,2.07730617239716,5.22465095120273,2.74000986983055,-6.03991714951639,4.14484984597034,1.6316711483084,"Poor"
"861",1.1733274772001,0.99593689871703,-1.36642994165011,0.915931087546636,-2.85505754543269,-2.38013798861509,-0.224362152545243,-1.94575097706747,5.68654314184682,"Average"
