"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","molt.stage"
"213",0.070098117594522,0.106833426164046,-0.413127038298406,2.15272932721418,-4.45130729831435,-2.4489272017243,-2.9792758332684,3.5900015440307,4.37297495660201,"V"
"246",2.69547450771577,-4.72914988898943,-1.38509768571998,3.12571207290787,-2.21625943217808,-1.67762701997682,-1.39346712982947,-1.60919521732848,7.18960979339862,"V"
"248",0.847062361429823,-0.488633204001588,0.129424689604673,0.55470781306195,-4.24544682894435,-4.47339946595208,-1.72200639372931,2.06316836559975,7.33512266293112,"V"
"254",0.420538969478887,-1.62216292590968,-1.61711127907572,4.74907200276679,-4.37651995295104,0.158864551534403,-3.52672877177622,0.965642656982255,4.84840474895032,"V"
"258",1.92563085039658,-3.30937756478658,-3.07338570410537,3.7308998425095,3.53227984761533,0.949010570844111,-3.51205615092189,-5.29472492593421,5.05172323438252,"IV"
"268",-3.05439109776436,3.40201920674895,-1.42784850235142,3.19967748837094,-5.8466068428672,0.0720948132432373,-2.21855160708744,0.539801211601771,5.33380533010553,"V"
"271",0.768754670908417,-0.141642998969546,1.52034251515446,0.658182775870115,-4.8145174924056,-1.1717874076253,-1.46631236164536,-1.70575469618218,6.35273499489498,"V"
"310",-0.0237831720249564,-0.780617319634339,-3.47289517278036,2.13521044299141,1.53460924715102,-2.9001172252146,-2.05186024922742,0.613648815826251,4.94580463291299,"III"
"312",-1.74575959309421,0.74210934434405,-1.50088363793809,4.52241491532019,-6.10887270258783,1.57481786712367,-1.84082978936903,-0.275845962616689,4.63284955881795,"V"
"320",-1.11334310182261,1.61735021000252,-2.81402905598608,0.695272651979175,2.07145289555053,-2.91155616102043,-1.99762451901863,-0.586903913300659,5.03938099361619,"III"
"325",-1.40693248184054,0.501459894949119,-3.46531467769936,3.82540866608995,-3.57523577115325,-3.13449487646549,-2.69889460070629,3.68579759107372,6.26820625575214,"V"
"326",2.42859527393335,-3.64929308993801,-1.90259875244518,3.12346282336016,0.995319228880906,-0.831675240904631,-3.36288493044321,-1.0342095393282,4.23328422688482,"IV"
"328",-0.739430739063563,1.18413639338818,-1.86566483111042,0.355527878485762,1.10713824564361,-2.38452617523512,-1.3408113153111,-0.913397456309629,4.59702799951227,"IV"
"329",-1.58145772834241,1.71864564770623,-2.22220609934857,1.98915584532149,-0.418658446211861,-0.454263895724587,-1.91235694970714,-1.67349361345086,4.55463523975771,"III"
"853",0.43282188440212,-2.50879539485352,-2.31420450606811,6.18439646003011,-4.75835183966604,1.34338261468743,-3.6149614395363,1.05744736857946,4.17826485242485,"III"
"854",-0.792067823300383,2.32958787197372,-0.128183914086969,0.562334862014913,-0.403337745948366,-0.238331346337791,-2.91130270177165,-2.63874008174694,4.22004087920346,"IV"
"857",1.92979346893768,-1.67821122308195,1.59597246925111,-0.118895816912618,-0.901138892745847,0.0560672073048679,-0.980550314315571,-1.53861454238904,1.63557764395136,"IV"
"861",-0.342089189857769,0.143801165125526,-0.380031476824495,0.930250493405134,-3.72984640947712,-1.78237888535642,0.0190274722112496,-1.9653617466508,7.10662857742468,"V"
"862",-0.381106945586515,-0.0318420913360551,-0.90537531191981,1.50440257453144,-3.61241984489873,-1.76575032254734,-0.34902915377804,-1.97747394457557,7.51859504011061,"V"
"869",0.0649284683588869,-0.426190507525054,-2.68461076837632,3.25666242444594,-2.42492886273765,-3.90624830168923,-4.07436814234453,4.09161634091734,6.10313934895061,"V"
"886",2.28371163904899,-3.94146695705003,-3.00736171713761,0.809500624361522,3.15559242275772,-4.67204855370536,-0.493059367090665,1.43221959742508,4.43291231139033,"V"
"896",-1.11865257034561,1.1263055366545,-1.90496874624532,1.65435457771077,-0.324932530272756,-0.563084639161692,-1.46641244693349,-1.9756353004362,4.57302611902979,"IV"
"900",-0.390537734006779,-1.32142708973668,-1.83051896116779,4.01858961722249,-5.27477154110248,-0.652548170248784,-1.22802514302302,2.4075000365844,4.27173898547864,"V"
