"Sample","IFNg","IL-2","IL-6","IL-7","IL-8","IL-10","IL-15","IL-18","KC-like"
"1563",2.14,0,0,0,0,8.45,0,101.94,0.39
"1581",0,54.49,0,0,0,0,0,91.01,0.39
"1586",1.25,0,0,0,0,0,0,73.28,0
"1663",0.28,0,0,0,0,0,0,39.93,0
"1394",9.85,11.95,0,0,99.7,2.12,0,39.93,0.39
"1391",0,25.11,0,0,0,0,0,8.12,0
"1379",5.37,4.2,0,3.8,0,29.01,22.65,31.58,2.43
"1501",2.7,0,0,0,0,0,0,62.47,0
"2010",1.29,27.24,6.11,1.2,0,0,0,46.42,3.02
"2017",1.29,0,7.38,10.4,0,0,0,31.78,3.65
"2021",1.68,0,6.11,1.2,0,0,0,55.43,2.71
"2022",0.79,0.42,8.68,0,0,0,0,50.44,3.34
"2023",1.55,0,10.46,45.86,0,0,0,30.53,3.02
"2025",1.29,0,6.11,0.34,0,0,0,40.72,3.65
"2030",0.79,0,11.38,1.2,0,0,0,31.36,3.02
"2033",16.4,0,4.49,0,0,0,0,35.57,3.34
"2037",2.58,0,7.38,2.17,0,0,0,37.27,3.02
"2081",0.54,1.21,7.81,2.17,0,0,0,47.31,3.18
"2104",1.29,0,7.38,0,0,0,0,21.67,2.71
"2106",0.79,13.07,6.11,1.2,0,0,0,26.85,3.02
"2098",0.79,0,8.68,4.32,0,0,0,32.61,3.34
"2009",0.54,0,6.95,4.32,0,0,0,56.34,3.34
"2012",0.79,0,4.89,0,0,0,0,41.15,3.02
"2013",1.29,0,8.24,0.34,0,0,0,40.72,2.71
"2014",1.04,23.23,10.46,0.34,0,0,0,47.31,2.71
"2015",0.79,0,6.95,2.17,0,0,0,48.65,3.34
"2024",0.29,0,6.95,0,0,0,0,27.66,2.71
"2026",1.29,0,6.53,0.34,0,0,0,38.56,3.02
"2032",1.55,0.8,9.56,0,0,0,0,20.11,2.55
"2034",0.29,0,4.49,0,0,0,0,24.43,2.4
"2088",0.54,0,4.49,0,0,0,0,84.82,2.71
"2096",0.54,0,6.95,0,0,0,0,29.71,2.87
"2097",0.29,1103.81,11.38,5.47,0,0,0,57.26,3.02
"2099",0.05,0,10.46,0,0,0,279.86,33.45,3.02
