"Sample","IFNg","IL-2","IL-6","IL-7","IL-8","IL-10","IL-15","IL-18","KC-like"
"213",-1.23652354258952,-0.793042021615241,0.0119873767116936,0.349803244257645,-0.319293803016149,1.47189587348329,-0.383101740033448,0.194552933680567,-0.798534367950734
"254",0.907041139446227,-0.793042021615241,-0.595332782435203,0.563693959818026,-0.319293803016149,1.82801385876005,2.08331887340918,1.66586542038848,-0.798534367950734
"258",0.907041139446227,-0.793042021615241,-0.595332782435203,1.05347885131519,1.21887066303499,-0.542176264549825,1.81333556488627,1.5159284267124,-0.798534367950734
"268",-1.23652354258952,0.837667740715481,-0.595332782435203,0.710373942046571,-0.319293803016149,1.60864507505181,1.81333556488627,1.28275086789001,-0.798534367950734
"320",-1.23652354258952,0.777214429263536,-0.595332782435203,0.91205066858291,3.44585840153339,1.47189587348329,0.0741057961973565,1.60731908508321,-0.798534367950734
"310",-1.23652354258952,-0.793042021615241,-0.595332782435203,0.988140100099705,2.94854209408589,2.61482294325603,0.0741057961973565,2.87782506913164,-0.798534367950734
"312",-1.23652354258952,-0.793042021615241,-0.595332782435203,0.710373942046571,-0.319293803016149,1.39251247343348,2.9139767198095,1.09571102229879,-0.798534367950734
"325",-1.23652354258952,-0.793042021615241,-0.595332782435203,0.349803244257645,-0.319293803016149,1.82801385876005,-0.383101740033448,2.75598526896955,-0.798534367950734
"326",1.54480833929956,-0.793042021615241,-0.595332782435203,0.988140100099705,1.21887066303499,2.07345236624529,2.66423524785574,1.93278373389028,-0.798534367950734
"328",-1.23652354258952,0.599904634680343,-0.595332782435203,1.05347885131519,4.89135699237932,3.10607466726062,1.81333556488627,1.85678667656915,-0.798534367950734
"329",-1.23652354258952,0.777214429263536,-0.595332782435203,1.41970556838986,1.21887066303499,1.30593044386433,2.27811621582263,1.13460449532027,-0.798534367950734
"853",0.907041139446227,0.114216701940878,-0.595332782435203,2.68791104326132,-0.319293803016149,1.09584297558223,2.27811621582263,-1.06702371228578,-0.798534367950734
"854",-1.23652354258952,2.0108761001655,0.0119873767116936,2.25849626425476,2.35156093631366,-0.0174523987068675,1.81333556488627,1.28275086789001,-0.798534367950734
"857",-1.23652354258952,-0.793042021615241,0.0119873767116936,0.769435706198799,2.60457444285911,1.82801385876005,2.4313006722751,-2.95706093198983,-0.798534367950734
"869",0.907041139446227,0.114216701940878,-0.595332782435203,0.349803244257645,-0.319293803016149,1.99957766418004,-0.383101740033448,1.77736282500367,-0.798534367950734
"886",-1.23652354258952,-0.793042021615241,-0.595332782435203,1.3902805975582,4.93622595129794,2.07345236624529,-0.383101740033448,-1.20198973278764,-0.798534367950734
"896",-1.23652354258952,0.968906095298254,-0.595332782435203,1.74868713524977,2.48829512157111,1.60864507505181,2.55701129979151,0.973377432671243,-0.798534367950734
"900",-1.23652354258952,-0.793042021615241,-0.595332782435203,1.05347885131519,-0.319293803016149,1.82801385876005,0.0741057961973565,-1.87499262444454,-0.798534367950734
"246",0.299088747604737,-0.793042021615241,-0.595332782435203,0.583611709930071,-0.319293803016149,-0.542176264549825,-0.383101740033448,-0.254444383336418,-0.798534367950734
"248",0.82666323443995,2.25592422207867,-0.595332782435203,0.526488588313062,-0.319293803016149,0.965575525481064,-0.383101740033448,-0.011986146328366,-0.798534367950734
"271",-1.23652354258952,1.24535016701234,0.552283411354285,1.42322588896463,-0.319293803016149,-0.542176264549825,-0.383101740033448,-1.03507511517487,-0.798534367950734
"861",-1.23652354258952,1.48776498174853,-0.595332782435203,0.63533622641353,-0.319293803016149,-0.542176264549825,-0.383101740033448,-2.34670743089287,-0.798534367950734
"862",-1.23652354258952,1.06361742936575,-0.595332782435203,0.726271517978613,-0.319293803016149,-0.542176264549825,-0.383101740033448,-0.896324116210865,-0.798534367950734
"1206",0.991529512401519,-0.793042021615241,-0.595332782435203,-0.067965125180146,-0.319293803016149,-0.542176264549825,-0.383101740033448,-0.0963118079846061,-0.798534367950734
