"Sample","iav","iavser","location","year","sex","molt.stage","bodcond","batch"
1476,"IAV-","neg","Muskeget","2019","M","V","70.23 (Poor)","2"
1501,"IAV-","pos","Monomoy","2019","M","V","82.84 (Poor)","2"
1507,"IAV+","neg","Monomoy","2019","F","IV","97.14 (Robust)","2"
1513,"IAV+","neg","Monomoy","2019","F","V","81.31 (Poor)","2"
1516,"IAV-","neg","Monomoy","2019","F","V","NA (NA)","2"
1527,"IAV-","neg","Monomoy","2019","F","V","89.91 (Average)","2"
1528,"IAV-","pos","Monomoy","2019","F","V","NA (NA)","2"
246,"IAV-","neg","Great Point","2020","F","V","84.04 (Poor)","2"
248,"IAV-","neg","Great Point","2020","M","V","96.88 (Robust)","2"
1554,"IAV-","neg","Muskeget","2020","M","V","94.2 (Average)","2"
1555,"IAV-","neg","Muskeget","2020","M","V","90.1 (Average)","2"
1556,"IAV+","neg","Muskeget","2020","M","IV","87.86 (Average)","2"
1562,"IAV-","neg","Muskeget","2020","M","V","84.75 (Average)","2"
1563,"IAV-","pos","Muskeget","2020","M","V","95.79 (Average)","2"
1581,"IAV+","neg","Muskeget","2020","M","IV","82.05 (Poor)","2"
1586,"IAV+","neg","Muskeget","2020","F","IV","86.76 (Average)","2"
1663,"IAV+","neg","Muskeget","2020","M","V","93.93 (Average)","2"
2009,"IAV-","neg","Monomoy","2023","F","IV","77.6 (Poor)","3"
2010,"IAV-","pos","Monomoy","2023","F","V","90.18 (Average)","3"
2012,"IAV-","neg","Monomoy","2023","F","V","95.67 (Average)","3"
2013,"IAV-","neg","Monomoy","2023","M","IV","85.71 (Average)","3"
2014,"IAV-","neg","Monomoy","2023","F","IV","76 (Poor)","3"
2015,"IAV-","neg","Monomoy","2023","F","V","93.62 (Average)","3"
2017,"IAV-","pos","Monomoy","2023","M","V","80.17 (Poor)","3"
2021,"IAV-","pos","Monomoy","2023","F","V","110.48 (Robust)","3"
2022,"IAV-","pos","Monomoy","2023","F","V","NA (NA)","3"
2023,"IAV-","pos","Monomoy","2023",NA,NA,"NA (NA)","3"
2024,"IAV-","neg","Monomoy","2023","M","V","80.58 (Poor)","3"
2025,"IAV-","pos","Monomoy","2023","F","V","100.99 (Robust)","3"
2026,"IAV-","neg","Monomoy","2023","F","V","97.5 (Robust)","3"
2030,"IAV-","pos","Monomoy","2023","M","V","92.16 (Average)","3"
2032,"IAV-","neg","Great Point","2023","M","IV","76.51 (Poor)","3"
2033,"IAV-","pos","Great Point","2023","M","V","75.4 (Poor)","3"
2034,"IAV-","neg","Great Point","2023","F","V","76.64 (Poor)","3"
2037,"IAV-","pos","Great Point","2023","M","V","73.53 (Poor)","3"
2081,"IAV-","pos","Muskeget","2023","M","V","85.71 (Average)","3"
2088,"IAV-","neg","Muskeget","2023","F","IV","83 (Poor)","3"
2096,"IAV-","neg","Muskeget","2023","F","V","87.77 (Average)","3"
2097,"IAV-","neg","Muskeget","2023","F","IV","84.4 (Poor)","3"
2098,"IAV+","neg","Muskeget","2023","F","V","88.39 (Average)","3"
2099,"IAV-","neg","Muskeget","2023","M","V","NA (NA)","3"
2104,"IAV-","pos","Muskeget","2023","M","V","81.36 (Poor)","3"
2106,"IAV-","pos","Muskeget","2023","M","V","100 (Robust)","3"
