"Sample","GM-CSF","IFNg","IL-2","IL-6","IL-7","IL-8","IL-15","IP-10","KC-like","IL-10","IL-18","MCP-1","TNFa","analysis.year","batch"
"213","0","0","0","1.29","3.76","0","0","0","0","8.94","48.69","0","0","2016","1"
"254","0","3.49","0","0","5.88","0","6.52","0","0","14.31","115.88","0","0","2016","1"
"258","0","3.49","0","0","16.37","44.62","4.33","0","0","0","106.08","0","0","2016","1"
"268","0","0","5.45","0","7.99","0","4.33","0","0","10.71","92.46","0","0","2016","1"
"320","0","0","4.58","0","12.18","345.65","0.31","0","0","8.94","111.95","0","0","2016","1"
"310","0","0","0","0","14.28","218.82","0.31","0","0","40.46","236.7","0","0","2016","1"
"312","0","0","0","0","7.99","0","22.97","0","0","8.05","82.81","0","0","2016","1"
"325","0","0","0","0","3.76","0","0","0","0","14.31","220.3","0","0","2016","1"
"326","0","15.17","0","0","14.28","44.62","15.73","0","0","19.79","135.62","0","0","2016","1"
"328","0","0","2.75","0","16.37","1305.39","4.33","0","0","77.42","129.68","0","0","2016","1"
"329","0","0","4.58","0","35.20","44.62","8.76","0","0","7.18","84.73","0","0","2016","1"
"853","0","3.49","0.68","0","498.81","0","8.76","0","0","5.44","23.15","0","0","2016","1"
"854","0","0","159.3","1.29","203.27","126.4","4.33","0","0","1.25","92.46","0","0","2016","1"
"857","0","0","0","1.29","9.04","159.5","11.05","0","0","14.31","7.60","0","0","2016","1"
"869","0","3.49","0.68","0","3.76","0","0","0","0","17.95","123.75","0","0","2016","1"
"886","0","0","0","0","33.10","1360.36","0","0","0","19.79","21.38","0","0","2016","1"
"896","32.91","0","7.95","0","70.02","143.33","13.37","0","0","10.71","77.05","0","0","2016","1"
"900","0","0","0","0","16.37","0","0.31","0","0","14.31","14.38","0","0","2016","1"
"246","0","0.86","0","0","6.13","0","0","0","0","0","37.37","0","0","2022","2"
"248","0","2.90","322.39","0","5.44","0","0","0","0","4.58","43.11","0","0","2022","2"
"271","0","0","17.61","2.39","35.46","0","0","0","0","0","23.59","69.73","0","2022","2"
"861","0","0","35.37","0","6.83","0","0","0","0","0","10.89","0","0","2022","2"
"862","0","0","10.44","0","8.26","0","0","0","0","0","25.60","0","0","2022","2"
"1206","0","4.24","0","0","1.57","0","0","0","0","0","41.02","0","0","2022","2"
"1209","0","14.78","14.72","0","6.13","0","0","0","0","0","39.97","0","0","2022","2"
"1211","0","0","0","0","4.09","0","0","0","0","0","55.82","0","0","2022","2"
"1221","0","0","0","0","6.83","0","0","0","0","0","33.76","0","0","2022","2"
"1224","0","0.42","12.57","0","3.44","0","0","0","0","0","37.89","0","0","2022","2"
"1228","0","4.43","0","0","4.09","0","0","0","0","0","61.19","0","0","2022","2"
"1235","0","0","7.64","0","31.21","0","0","122.02","0","0","49.43","0","0","2022","2"
"1239","0","0","29.38","0","2.80","0","0","0","0","0","29.66","0","0","2022","2"
"1244","0","1.70","6.25","0","18.91","0","0","0","0","0","44.16","0","0","2022","2"
"1256","0","0","0","10.25","4.09","0","0","0","0","0","27.62","0","0","2022","2"
"1257","0","0","0","0","14.22","0","0","0","0","0","48.38","0","0","2022","2"
"1258","0","1.28","17.61","0","9.71","0","0","0","0","0","39.97","0","0","2022","2"
"1261","0","0","0","0","18.12","0","0","0","0","0","11.84","0","0","2022","2"
"1262","0","0","47.5","0","1.57","0","0","0","0","0","40.49","0","0","2022","2"
"1265","0","2.90","0","0","3.44","0","0","0","0","0","32.73","0","0","2022","2"
"1272","0","79.94","0","3.83","6.83","0","0","0","0","0","55.29","0","0","2022","2"
"1273","0","0","6.25","0","20.50","0","45.2","0","0","0","51.56","0","0","2022","2"
"1274","0","0","0","0","1.00","0","0","0","0","0","27.62","0","0","2022","2"
"1282","0","6.85","0","0","4.09","0","0","0","0","0","29.15","0","0","2022","2"
"1283","0","0","0","0","0","0","0","0","0","0","30.68","0","0","2022","2"
"1288","0","0","41.41","0","1.57","0","0","0","0","0","14.72","0","0","2022","2"
"1301","0","0","0","0","2.17","0","0","0","0","0","41.02","0","0","2022","2"
"1302","0","0","0","129.63","2.80","0","0","0","0","0","54.75","0","0","2022","2"
"1303","0","1.90","4.88","0","22.12","0","0","0","0","0","20.60","0","0","2022","2"
"1304","0","2.50","0","0","5.44","0","0","0","0","0","44.16","0","0","2022","2"
"1305","0","0.86","36.87","0","9.71","0","0","0","0","0","24.59","0","0","2022","2"
"1306","0","0","52.86","0","4.09","0","0","0","0","0","29.66","0","0","2022","2"
"1308","0","0","0.93","0","5.44","0","0","0","0","0","53.69","0","0","2022","2"
"1324","0","1.07","3.54","0","4.76","0","0","0","0","0","33.76","0","0","2022","2"
"1325","0","0.62","0.10","0","36.58","0","0","0","1.94","0","31.02","0","0","2022","3"
"1327","0","9.36","6.16","0","0","0","6.05","0","1.43","0","10.25","0","0","2022","3"
"1337","0","7.15","32.52","0","0","0","0","0","0.66","0","45.54","0","0","2022","3"
"1348","0","3.26","0","0","0","0","0","0","0.92","0","59.07","0","0","2022","3"
"1351","0","2.14","0","0","0.68","0","0","0","0","0","32.13","0","0","2022","3"
"1354","0","1.55","0","0","0","0","0","0","0.39","0","43.85","0","0","2022","3"
"1357","0","6.9","0.10","0","17.91","0","0","0","0","0","48.91","0","0","2022","3"
"1358","0","2.14","17.63","0","0","0","0","0","0","31.37","33.24","0","0","2022","3"
"1380","0","10.8","0","0","12.40","0","0","0","0","19.21","68.15","0","0","2022","3"
"1401","0","0.28","8.11","0","0.68","0","0","0","0","0","56.81","0","0","2022","3"
"1402","0","2.14","62.65","0","0","0","0","0","0","0","63.04","0","0","2022","3"
"1403","0","0","0.10","0","269.63","0","0","0","0","0","94.46","0","0","2022","3"
"1404","0","1.85","0","0","65.04","0","0","0","0","0","61.34","0","0","2022","3"
"1405","0","0.94","10.03","0","0","0","0","0","1.94","2.12","53.42","0","0","2022","3"
"1407","0","0.94","0","0","0","0","0","0","0.39","0","46.1","0","0","2022","3"
"1414","0","8.39","4.20","0","5.28","0","0","0","0","0","57.94","0","0","2022","3"
"1430","0","0","0","0","0","0","0","0","0.39","0","53.42","0","0","2022","3"
"1461","0","0","0","0","0","0","0","0","0","0","46.66","0","0","2022","3"
"1463","0","0","41.72","0","0","0","0","0","0.39","0","42.17","0","0","2022","3"
"1465","0","14.55","0","0","0","0","0","0","1.18","0","33.24","0","0","2022","3"
"1476","0","0","0","0","0","0","0","0","0.11","0","44.42","0","0","2022","3"
"1507","0","4.33","0","0","0","0","0","0","0.39","0","73.85","0","0","2022","3"
"1513","0","0","11.95","0","0","0","0","0","0.39","19.21","37.14","0","0","2022","3"
"1516","0","7.9","0","0","0","0","0","0","1.43","19.21","44.42","0","0","2022","3"
"1527","0","5.37","0","0","0","0","0","0","0.92","0","42.73","0","0","2022","3"
"1528","0","3.80","0","0","0","0","0","0","0.39","5.44","41.05","0","0","2022","3"
"1554","0","4.86","0","8.40","0","0","0","0","0","8.45","67.58","0","0","2022","3"
"1555","0","15.47","72.59","0","0","191.1","0","0","1.43","8.45","74.99","0","0","2022","3"
"1556","0","2.14","8.11","0","0","26.93","0","0","5.32","0","61.34","0","0","2022","3"
"1562","0","0.28","0","0","0","0","0","0","0.39","0","56.81","0","0","2022","3"
"1563","0","2.14","0","0","0","0","0","0","0.39","8.45","101.94","0","0","2022","3"
"1581","0","0","54.49","0","0","0","0","0","0.39","0","91.01","0","0","2022","3"
"1586","0","1.25","0","0","0","0","0","0","0","0","73.28","0","0","2022","3"
"1663","0","0.28","0","0","0","0","0","0","0","0","39.93","0","0","2022","3"
"1394","0","9.85","11.95","0","0","99.70","0","0","0.39","2.12","39.93","0","0","2022","3"
"1391","0","0","25.11","0","0","0","0","0","0","0","8.12","0","0","2022","3"
"1379","0","5.37","4.20","0","3.80","0","22.65","0","2.43","29.01","31.58","0","0","2022","3"
"1501","0","2.70","0","0","0","0","0","0","0","0","62.47","0","0","2022","3"
"2010","0","1.29","27.24","6.11","1.20","0","0","0","3.02","0","46.42","0","0","2023","4"
"2017","0","1.29","0","7.38","10.40","0","0","34.82","3.65","0","31.78","0","0","2023","4"
"2021","0","1.68","0","6.11","1.20","0","0","0","2.71","0","55.43","0","0","2023","4"
"2022","0","0.79","0.42","8.68","0","0","0","0","3.34","0","50.44","0","41.08","2023","4"
