Analyte,Type,Well,Description,%CV,Conc in Range,Obs Conc,Exp Conc,(Obs/Exp) * 100,Dilution
GM-CSF (14),B,"A1,B1",,5.24,,,,,1
GM-CSF (14),S1,"C1,D1",,1.46,12.06,12.06,12.21,99,1
GM-CSF (14),S2,"E1,F1",,3.17,49.46,49.46,48.83,101,1
GM-CSF (14),S3,"G1,H1",,5.08,192.83,192.83,195.31,99,1
GM-CSF (14),S4,"A2,B2",,0.81,784.47,784.47,781.25,100,1
GM-CSF (14),S5,"C2,D2",,6.29,3203.31,3203.31,3125,103,1
GM-CSF (14),S6,"E2,F2",,0.94,11764.52,11764.52,12500,94,1
GM-CSF (14),S7,"G2,H2",,1.14,53011.66,53011.66,50000,106,1
GM-CSF (14),X1,"A3,B3",QC1,12.86,353.36,353.36,,,1
GM-CSF (14),X2,"C3,D3",QC2,4.11,1848.49,1848.49,,,1
GM-CSF (14),X3,"E3,F3",246,6.15,OOR <,OOR <,,,3
GM-CSF (14),X4,"G3,H3",248,3.29,OOR <,OOR <,,,3
GM-CSF (14),X5,"A4,B4",271,5.98,OOR <,OOR <,,,3
GM-CSF (14),X6,"C4,D4",853,9.43,OOR <,OOR <,,,3
GM-CSF (14),X7,"E4,F4",861,5.66,OOR <,OOR <,,,3
GM-CSF (14),X8,"G4,H4",862,6.15,OOR <,OOR <,,,3
GM-CSF (14),X9,"A5,B5",869,3.29,OOR <,OOR <,,,3
GM-CSF (14),X10,"C5,D5",896,3.63,OOR <,*8.25,,,3
GM-CSF (14),X11,"E5,F5",900,0,OOR <,OOR <,,,3
GM-CSF (14),X12,"G5,H5",1206,5.66,OOR <,OOR <,,,3
GM-CSF (14),X13,"A6,B6",1209,6.73,OOR <,OOR <,,,3
GM-CSF (14),X14,"C6,D6",1211,11.79,OOR <,OOR <,,,3
GM-CSF (14),X15,"E6,F6",1221,6.73,OOR <,OOR <,,,3
GM-CSF (14),X16,"G6,H6",1224,11.79,OOR <,OOR <,,,3
GM-CSF (14),X17,"A7,B7",1228,6.15,OOR <,OOR <,,,3
GM-CSF (14),X18,"C7,D7",1235,0,OOR <,OOR <,,,3
GM-CSF (14),X19,"E7,F7",1239,6.15,OOR <,OOR <,,,3
GM-CSF (14),X20,"G7,H7",1244,6.73,OOR <,OOR <,,,3
GM-CSF (14),X21,"A8,B8",1256,3.29,OOR <,OOR <,,,3
GM-CSF (14),X22,"C8,D8",1257,7.44,OOR <,OOR <,,,3
GM-CSF (14),X23,"E8,F8",1258,5.66,OOR <,OOR <,,,3
GM-CSF (14),X24,"G8,H8",1261,0,OOR <,OOR <,,,3
GM-CSF (14),X25,"A9,B9",1262,0,OOR <,OOR <,,,3
GM-CSF (14),X26,"C9,D9",1265,0,OOR <,OOR <,,,3
GM-CSF (14),X27,"E9,F9",1272,6.15,OOR <,OOR <,,,3
GM-CSF (14),X28,"G9,H9",1273,13.69,OOR <,OOR <,,,3
GM-CSF (14),X29,"A10,B10",1274,0,OOR <,OOR <,,,3
GM-CSF (14),X30,"C10,D10",1282,12.86,OOR <,OOR <,,,3
GM-CSF (14),X31,"E10,F10",1283,0,OOR <,OOR <,,,3
GM-CSF (14),X32,"G10,H10",1288,5.66,OOR <,OOR <,,,3
GM-CSF (14),X33,"A11,B11",1301,10.35,OOR <,OOR <,,,3
GM-CSF (14),X34,"C11,D11",1302,8.32,OOR <,OOR <,,,3
GM-CSF (14),X35,"E11,F11",1303,6.15,OOR <,OOR <,,,3
GM-CSF (14),X36,"G11,H11",1304,10.1,OOR <,OOR <,,,3
GM-CSF (14),X37,"A12,B12",1305,6.73,OOR <,OOR <,,,3
GM-CSF (14),X38,"C12,D12",1306,10.88,OOR <,OOR <,,,3
GM-CSF (14),X39,"E12,F12",1308,6.15,OOR <,OOR <,,,3
GM-CSF (14),X40,"G12,H12",1324,12.86,OOR <,OOR <,,,3
IFNg (25),B,"A1,B1",,7.44,,,,,1
IFNg (25),S1,"C1,D1",,10.88,2.46,2.46,2.44,101,1
IFNg (25),S2,"E1,F1",,7,9.48,9.48,9.77,97,1
IFNg (25),S3,"G1,H1",,3.86,41.79,41.79,39.06,107,1
IFNg (25),S4,"A2,B2",,8.91,147.76,147.76,156.25,95,1
IFNg (25),S5,"C2,D2",,12.96,643.03,643.03,625,103,1
IFNg (25),S6,"E2,F2",,1.8,2474.4,2474.4,2500,99,1
IFNg (25),S7,"G2,H2",,1.9,10182.58,10182.58,10000,102,1
IFNg (25),X1,"A3,B3",QC1,0.69,98.32,98.32,,,1
IFNg (25),X2,"C3,D3",QC2,4.38,600.09,600.09,,,1
IFNg (25),X3,"E3,F3",246,12.86,OOR <,*0.86,,,3
IFNg (25),X4,"G3,H3",248,5.24,OOR <,*2.90,,,3
IFNg (25),X5,"A4,B4",271,7.44,OOR <,OOR <,,,3
IFNg (25),X6,"C4,D4",853,3.45,8.12,8.12,,,3
IFNg (25),X7,"E4,F4",861,7.44,OOR <,OOR <,,,3
IFNg (25),X8,"G4,H4",862,0,OOR <,OOR <,,,3
IFNg (25),X9,"A5,B5",869,8.32,OOR <,OOR <,,,3
IFNg (25),X10,"C5,D5",896,6.15,OOR <,*1.28,,,3
IFNg (25),X11,"E5,F5",900,7.44,OOR <,OOR <,,,3
IFNg (25),X12,"G5,H5",1206,16.23,OOR <,*4.24,,,3
IFNg (25),X13,"A6,B6",1209,4.71,14.78,14.78,,,3
IFNg (25),X14,"C6,D6",1211,0,OOR <,OOR <,,,3
IFNg (25),X15,"E6,F6",1221,0,OOR <,OOR <,,,3
IFNg (25),X16,"G6,H6",1224,6.73,OOR <,*0.42,,,3
IFNg (25),X17,"A7,B7",1228,4.56,OOR <,*4.43,,,3
IFNg (25),X18,"C7,D7",1235,0,OOR <,OOR <,,,3
IFNg (25),X19,"E7,F7",1239,6.15,OOR <,OOR <,,,3
IFNg (25),X20,"G7,H7",1244,11.79,OOR <,*1.70,,,3
IFNg (25),X21,"A8,B8",1256,7.44,OOR <,OOR <,,,3
IFNg (25),X22,"C8,D8",1257,0,OOR <,OOR <,,,3
IFNg (25),X23,"E8,F8",1258,6.15,OOR <,*1.28,,,3
IFNg (25),X24,"G8,H8",1261,0,OOR <,OOR <,,,3
IFNg (25),X25,"A9,B9",1262,0,OOR <,OOR <,,,3
IFNg (25),X26,"C9,D9",1265,5.24,OOR <,*2.90,,,3
IFNg (25),X27,"E9,F9",1272,4.77,79.94,79.94,,,3
IFNg (25),X28,"G9,H9",1273,7.44,OOR <,OOR <,,,3
IFNg (25),X29,"A10,B10",1274,9.43,OOR <,OOR <,,,3
IFNg (25),X30,"C10,D10",1282,1.89,OOR <,*6.85,,,3
IFNg (25),X31,"E10,F10",1283,0,OOR <,OOR <,,,3
IFNg (25),X32,"G10,H10",1288,0,OOR <,OOR <,,,3
IFNg (25),X33,"A11,B11",1301,7.44,OOR <,OOR <,,,3
IFNg (25),X34,"C11,D11",1302,0,OOR <,OOR <,,,3
IFNg (25),X35,"E11,F11",1303,8.66,OOR <,*1.90,,,3
IFNg (25),X36,"G11,H11",1304,0,OOR <,*2.50,,,3
IFNg (25),X37,"A12,B12",1305,0,OOR <,*0.86,,,3
IFNg (25),X38,"C12,D12",1306,8.32,OOR <,OOR <,,,3
IFNg (25),X39,"E12,F12",1308,8.32,OOR <,OOR <,,,3
IFNg (25),X40,"G12,H12",1324,3.14,OOR <,*1.07,,,3
IL-2 (29),B,"A1,B1",,0,,,,,1
IL-2 (29),S1,"C1,D1",,2.67,12.29,12.29,12.21,101,1
IL-2 (29),S2,"E1,F1",,7.57,48.27,48.27,48.83,99,1
IL-2 (29),S3,"G1,H1",,5.57,196.49,196.49,195.31,101,1
IL-2 (29),S4,"A2,B2",,9.47,785.46,785.46,781.25,101,1
IL-2 (29),S5,"C2,D2",,12,3089.69,3089.69,3125,99,1
