Analyte,Type,Well,Description,%CV,Conc in Range,Obs Conc,Exp Conc,(Obs/Exp) * 100,Dilution
IL-2 (29),S4,"A2,B2",,4.55,761.43,761.43,781.25,97,1
IL-2 (29),S5,"C2,D2",,2.08,3286.3,3286.3,3125,105,1
IL-2 (29),S6,"E2,F2",,6.23,11722.24,11722.24,12500,94,1
IL-2 (29),S7,"G2,H2",,2.44,53490.92,53490.92,50000,107,1
IL-2 (29),X1,"A3,B3",QC1,6.03,402.56,402.56,,,1
IL-2 (29),X2,"C3,D3",QC2,1.2,1867.06,1867.06,,,1
IL-2 (29),X3,"E3,F3",1325,4.88,OOR <,*0.10,,,3
IL-2 (29),X4,"G3,H3",1327,0,OOR <,*6.16,,,3
IL-2 (29),X5,"A4,B4",1337,0,OOR <,*32.52,,,3
IL-2 (29),X6,"C4,D4",1348,0,OOR <,OOR <,,,3
IL-2 (29),X7,"E4,F4",1351,5.66,OOR <,OOR <,,,3
IL-2 (29),X8,"G4,H4",1354,6.15,OOR <,OOR <,,,3
IL-2 (29),X9,"A5,B5",1357,4.88,OOR <,*0.10,,,3
IL-2 (29),X10,"C5,D5",1358,0,OOR <,*17.63,,,3
IL-2 (29),X11,"E5,F5",1380,0,OOR <,OOR <,,,3
IL-2 (29),X12,"G5,H5",1401,12.86,OOR <,*8.11,,,3
IL-2 (29),X13,"A6,B6",1402,7.92,62.65,62.65,,,3
IL-2 (29),X14,"C6,D6",1403,4.88,OOR <,*0.10,,,3
IL-2 (29),X15,"E6,F6",1404,2.57,OOR <,OOR <,,,3
IL-2 (29),X16,"G6,H6",1405,8.32,OOR <,*10.03,,,3
IL-2 (29),X17,"A7,B7",1407,5.66,OOR <,OOR <,,,3
IL-2 (29),X18,"C7,D7",1414,13.69,OOR <,*4.20,,,3
IL-2 (29),X19,"E7,F7",1430,6.15,OOR <,OOR <,,,3
IL-2 (29),X20,"G7,H7",1461,5.24,OOR <,OOR <,,,3
IL-2 (29),X21,"A8,B8",1463,2.77,41.72,41.72,,,3
IL-2 (29),X22,"C8,D8",1465,6.15,OOR <,OOR <,,,3
IL-2 (29),X23,"E8,F8",1476,0,OOR <,OOR <,,,3
IL-2 (29),X24,"G8,H8",1505,6.15,OOR <,OOR <,,,3
IL-2 (29),X25,"A9,B9",1513,4.04,OOR <,*11.95,,,3
IL-2 (29),X26,"C9,D9",1516,5.66,OOR <,OOR <,,,3
IL-2 (29),X27,"E9,F9",1527,6.15,OOR <,OOR <,,,3
IL-2 (29),X28,"G9,H9",1528,2.67,OOR <,OOR <,,,3
IL-2 (29),X29,"A10,B10",1554,0,OOR <,OOR <,,,3
IL-2 (29),X30,"C10,D10",1555,4.16,72.59,72.59,,,3
IL-2 (29),X31,"E10,F10",1556,4.29,OOR <,*8.11,,,3
IL-2 (29),X32,"G10,H10",1562,0,OOR <,OOR <,,,3
IL-2 (29),X33,"A11,B11",1563,15.71,OOR <,OOR <,,,3
IL-2 (29),X34,"C11,D11",1581,4.88,54.49,54.49,,,3
IL-2 (29),X35,"E11,F11",1586,0,OOR <,OOR <,,,3
IL-2 (29),X36,"G11,H11",1663,2.89,OOR <,OOR <,,,3
IL-2 (29),X37,"A12,B12",1394,4.04,OOR <,*11.95,,,3
IL-2 (29),X38,"C12,D12",1391,0,OOR <,*25.11,,,3
IL-2 (29),X39,"E12,F12",1379,4.56,OOR <,*4.20,,,3
IL-2 (29),X40,"G12,H12",1501,2.67,OOR <,OOR <,,,3
IL-6 (35),B,"A1,B1",,4.56,,,,,1
IL-6 (35),S1,"C1,D1",,1.23,11.98,11.98,12.21,98,1
IL-6 (35),S2,"E1,F1",,0.54,50.12,50.12,48.83,103,1
IL-6 (35),S3,"G1,H1",,7.84,193.1,193.1,195.31,99,1
IL-6 (35),S4,"A2,B2",,3.29,765.91,765.91,781.25,98,1
IL-6 (35),S5,"C2,D2",,1.07,3296.74,3296.74,3125,105,1
IL-6 (35),S6,"E2,F2",,5.41,11736.29,11736.29,12500,94,1
IL-6 (35),S7,"G2,H2",,0.69,52527.64,52527.64,50000,105,1
IL-6 (35),X1,"A3,B3",QC1,2.65,393.42,393.42,,,1
IL-6 (35),X2,"C3,D3",QC2,4.54,1822.19,1822.19,,,1
IL-6 (35),X3,"E3,F3",1325,0,OOR <,OOR <,,,3
IL-6 (35),X4,"G3,H3",1327,7.86,OOR <,OOR <,,,3
IL-6 (35),X5,"A4,B4",1337,4.29,OOR <,OOR <,,,3
IL-6 (35),X6,"C4,D4",1348,0,OOR <,OOR <,,,3
IL-6 (35),X7,"E4,F4",1351,4.29,OOR <,OOR <,,,3
IL-6 (35),X8,"G4,H4",1354,4.56,OOR <,OOR <,,,3
IL-6 (35),X9,"A5,B5",1357,0,OOR <,OOR <,,,3
IL-6 (35),X10,"C5,D5",1358,8.84,OOR <,OOR <,,,3
IL-6 (35),X11,"E5,F5",1380,4.29,OOR <,OOR <,,,3
IL-6 (35),X12,"G5,H5",1401,0,OOR <,OOR <,,,3
IL-6 (35),X13,"A6,B6",1402,4.56,OOR <,OOR <,,,3
IL-6 (35),X14,"C6,D6",1403,6.15,OOR <,OOR <,,,3
IL-6 (35),X15,"E6,F6",1404,2.24,OOR <,OOR <,,,3
IL-6 (35),X16,"G6,H6",1405,9.43,OOR <,OOR <,,,3
IL-6 (35),X17,"A7,B7",1407,7.19,OOR <,OOR <,,,3
IL-6 (35),X18,"C7,D7",1414,4.29,OOR <,OOR <,,,3
IL-6 (35),X19,"E7,F7",1430,4.88,OOR <,OOR <,,,3
IL-6 (35),X20,"G7,H7",1461,0,OOR <,OOR <,,,3
IL-6 (35),X21,"A8,B8",1463,4.88,OOR <,OOR <,,,3
IL-6 (35),X22,"C8,D8",1465,9.43,OOR <,OOR <,,,3
