File Name: C:\Documents and Settings\Administrator\Desktop\09_30_16_Millipore_canine_13plex_Greyseal_Weddellseal.rbx,,,,,,,,,,,,,,,
"Acquisition Date: 30-Sep-2016, 10:11 AM",,,,,,,,,,,,,,,
Reader Serial Number: LX10009351401,,,,,,,,,,,,,,,
Plate ID: ,,,,,,,,,,,,,,,
RP1 PMT (Volts): 534.55,,,,,,,,,,,,,,,
RP1 Target: 3659,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,GM-CSF (14),IFNg (25),IL-2 (29),IL-6 (35),IL-7 (36),IL-8 (48),IL-15 (54),IP-10 (57),KC-like (61),IL-10 (63),IL-18 (67),MCP-1 (74),TNFa (76)
X30,"C10,D10",LW15-11-1000,OOR <,OOR <,OOR <,OOR <,OOR <,OOR <,OOR <,OOR <,865.32,44.51,39.94,OOR <,*8.38
X31,"E10,F10",LW15-16-0,OOR <,OOR <,OOR <,OOR <,OOR <,OOR <,OOR <,OOR <,452.88,45.86,30.17,OOR <,46.06
X32,"G10,H10",LW15-16-1,OOR <,OOR <,OOR <,*2.93,*1.25,OOR <,*1.44,OOR <,795.16,97.78,*5.95,OOR <,80.49
X33,"A11,B11",LW15-16-10,OOR <,OOR <,OOR <,*2.46,OOR <,OOR <,OOR <,OOR <,820.77,125.07,23.14,OOR <,94.14
X34,"C11,D11",LW15-16-100,OOR <,OOR <,OOR <,*2.46,OOR <,OOR <,OOR <,OOR <,793.47,123.64,26.96,OOR <,91.09
X35,"E11,F11",LW15-16-1000,OOR <,OOR <,OOR <,*2.93,OOR <,OOR <,OOR <,OOR <,854.84,179.07,29.53,OOR <,96.63
,,,,,,,,,,,,,,,
***Value not available / --- = Designated as an outlier,,,,,,,,,,,,,,,
*Value extrapolated beyond standard range,,,,,,,,,,,,,,,
OOR = Out of Range / OOR> = Out of Range Above  / OOR< = Out of Range Below,,,,,,,,,,,,,,,
Exp Conc = Expected Concentration  /  Obs Conc = Observed  Concentration,,,,,,,,,,,,,,,
