Sample,iav,iavser,location,year,sex,molt.stage,weight,st.length,ax.girth,bodcond
1380,neg,pos,Monomoy,2018,F,V,26.8,95,80,84.21052632
1387,neg,pos,Monomoy,2018,F,V,35.8,117,101,86.32478632
1391,neg,neg,Monomoy,2018,F,NA,35.8,111,84,75.67567568
1394,neg,neg,Monomoy,2018,F,V,27.8,101,87,86.13861386
1397,neg,pos,Monomoy,2018,F,V,35.8,109,92,84.40366972
1421,neg,pos,Monomoy,2018,F,V,27,100,85,85
1430,pos,neg,Muskeget,2018,F,V,39.8,94,97,103.1914894
1401,neg,pos,Muskeget,2019,F,V,39.2,103,96,93.2038835
1402,pos,pos,Muskeget,2019,M,V,32,101,86,85.14851485
1403,pos,neg,Muskeget,2019,F,V,37.2,112,105,93.75
1404,pos,neg,Muskeget,2019,F,V,31.8,95,97,102.1052632
1405,pos,neg,Muskeget,2019,F,V,31.2,97,94,96.90721649
1406,neg,neg,Muskeget,2019,F,V,33.2,109,87,79.81651376
1407,pos,neg,Muskeget,2019,M,V,49.8,123,110,89.43089431
1414,neg,neg,Great Point,2019,M,V,24.8,104.5,81,77.51196172
1461,pos,neg,Great Point,2019,M,IV,20.4,92,71,77.17391304
1463,pos,neg,Great Point,2019,F,IV,27.2,101,82,81.18811881
1465,pos,neg,Great Point,2019,F,V,30.2,NA,NA,NA
1476,neg,neg,Muskeget,2019,M,V,41.2,131,92,70.22900763
1501,neg,pos,Monomoy,2019,M,V,28.2,102,84.5,82.84313725
1506,neg,neg,Monomoy,2019,F,V,42,117,108,92.30769231
1507,pos,neg,Monomoy,2019,F,IV,29.8,105,102,97.14285714
1512,neg,pos,Monomoy,2019,F,V,43,102,92,90.19607843
1513,pos,neg,Monomoy,2019,F,V,26.8,99,80.5,81.31313131
1514,neg,neg,Monomoy,2019,M,V,23.4,93.5,79,84.49197861
1516,neg,neg,Monomoy,2019,F,V,34.4,119,NA,NA
1518,neg,neg,Monomoy,2019,F,V,36.2,111,96.5,86.93693694
1519,neg,pos,Monomoy,2019,F,V,38.2,105,102,97.14285714
1522,neg,neg,Monomoy,2019,F,V,43.4,106,105,99.05660377
1527,neg,neg,Monomoy,2019,F,V,33.4,109,98,89.90825688
1528,neg,pos,Monomoy,2019,F,V,39,105,NA,NA
1529,neg,neg,Monomoy,2019,M,V,30.4,98,109,111.2244898
246,neg,neg,Great Point,2020,F,V,24.8,94,79,84.04255319
248,neg,neg,Great Point,2020,M,V,35.4,96,93,96.875
1554,neg,neg,Muskeget,2020,M,V,52,112,105.5,94.19642857
1555,neg,neg,Muskeget,2020,M,V,30.6,96,86.5,90.10416667
1556,pos,neg,Muskeget,2020,M,IV,35.3,103,90.5,87.86407767
1562,neg,neg,Muskeget,2020,M,V,42,118,100,84.74576271
1563,neg,pos,Muskeget,2020,M,V,48.2,107,102.5,95.79439252
1581,pos,neg,Muskeget,2020,M,IV,NA,117,96,82.05128205
1586,pos,neg,Muskeget,2020,F,IV,34.8,102,88.5,86.76470588
1663,pos,neg,Muskeget,2020,M,V,40,107,100.5,93.92523364
2009,neg,neg,Monomoy,2023,F,IV,41.6,125,97,77.6
2010,neg,pos,Monomoy,2023,F,V,40.2,112,101,90.17857143
2012,neg,neg,Monomoy,2023,F,V,42.4,104,99.5,95.67307692
2013,neg,neg,Monomoy,2023,M,IV,32.4,105,90,85.71428571
2014,neg,neg,Monomoy,2023,F,IV,20,100,76,76
2015,neg,neg,Monomoy,2023,F,V,30,94,88,93.61702128
2017,neg,pos,Monomoy,2023,M,V,40,118.5,95,80.16877637
2021,neg,pos,Monomoy,2023,F,V,NA,105,116,110.4761905
2022,neg,pos,Monomoy,2023,F,V,39.2,109,NA,NA
2023,neg,pos,Monomoy,2023,NA,NA,NA,116,NA,NA
2024,neg,neg,Monomoy,2023,M,V,31,103,83,80.58252427
2025,neg,pos,Monomoy,2023,F,V,32.4,101,102,100.990099
2026,neg,neg,Monomoy,2023,F,V,38.6,100,97.5,97.5
2030,neg,pos,Monomoy,2023,M,V,36.2,102,94,92.15686275
2032,neg,neg,Great Point,2023,M,IV,13.8,83,63.5,76.5060241
2033,neg,pos,Great Point,2023,M,V,37.7,126,95,75.3968254
2034,neg,neg,Great Point,2023,F,V,32.8,122,93.5,76.63934426
2037,neg,pos,Great Point,2023,M,V,30.6,119,87.5,73.52941176
2081,neg,pos,Muskeget,2023,M,V,47.4,119,102,85.71428571
2088,neg,neg,Muskeget,2023,F,IV,25.4,100,83,83
2096,neg,neg,Muskeget,2023,F,V,37.2,114.5,100.5,87.77292576
2097,neg,neg,Muskeget,2023,F,IV,29.4,109,92,84.40366972
2098,pos,neg,Muskeget,2023,F,V,38.6,112,99,88.39285714
2099,neg,neg,Muskeget,2023,M,V,42.6,115,NA,NA
2104,neg,pos,Muskeget,2023,M,V,48.8,118,96,81.3559322
2106,neg,pos,Muskeget,2023,M,V,41.8,107,107,100
